"pattern","occurences_count","files_count","repos_count"
"M/d/yy H:mm","6","5","4"
"GG","6","5","4"
"yyyy년M월d일 HH:mm:ss","6","5","6"
"yyyy-MM-dd'T'HH:mm:ss.SSSz","6","5","4"
"M/d/yyyy H:m","6","5","2"
"d MMMM, yyyy","6","5","3"
"HH'h'mm","6","5","5"
"yyyy年M月d日 H时m分s秒","6","5","6"
"yyyy년M월d일","6","5","6"
"dd/MM/yyyy hh:mm a","6","5","3"
"M-d-yyyy","6","5","4"
"yyyyMMdd_HHmmss_SSS","6","5","6"
"yyyyMMdd_HH.mm.ss","5","5","1"
"yyyy-MM-dd_hh-mm-ss","5","5","2"
"yyyy[-MM[-dd]]","5","5","3"
"HH:mm:ss.SSSSS","5","5","3"
"yyyy-MM-dd HH:mm:ss.SSSZ","5","5","4"
"HH:mm:ss dd-MM-yyyy","5","5","4"
"MMM dd,yyyy","5","5","3"
"MMMM/d/yyyy","5","5","1"
"d MMMM uuuu","5","5","5"
"MM%2'F'dd%2'F'yyyy","5","5","1"
"MM/dd/yy hh:mm a","5","5","4"
"-yyyyMMdd.HHmmss","5","5","1"
"dd/MM/YYYY HH:mm","5","5","5"
"yyyy-MM-dd HH:mm:ss.nnnnnnnnn","5","5","4"
"yyyy-MM-dd hh:mm:ss.SSS","5","5","4"
"HH:00","5","5","3"
"-MM","5","5","2"
"MM/dd/yyyy - HH:mm:ss z","5","5","5"
"dd/MM/yy - HH:mm:ss","5","5","3"
"yyyy-MM-dd hh:mm:ss.SSSSSS","5","5","1"
"[dd MMM[ yyyy]][[ ]h:m[:s][.SSS] a][[ ]H:m[:s][.SSS]]","5","5","1"
"dd MMM yyy hh:mm:ss","5","5","1"
"H:mm%20a","5","5","1"
"dd.MM.yyyy - HH:mm","5","5","4"
"yyyy/MM/dd HH:mm:ss.SSS z","5","5","2"
"dd_MM_yyyy_HH:mm","5","5","1"
"Y","5","5","4"
"yyyyMMdd-HH:mm:ss","5","5","3"
"d::MMM::uuuu","5","5","4"
"dd LL, yyyy -  kk:mm:ss","5","5","1"
"MM dd yyyy","5","5","5"
"yyyy-MM-dd kk:mm","5","5","4"
"MMM dd yyyy hh:mm:ss a","5","5","1"
"YYYY-MM-dd HH:mm","5","5","5"
"HH时mm分ss秒","5","5","4"
"dd.MM.YYYY HH:mm","5","5","5"
"yyyy-MM-dd HH:mm:ss.n","5","5","4"
"dd LLLL","5","5","4"
"EEEE, MMM dd","5","5","4"
"E, d MMM yyyy","5","5","1"
"YYYY-MM-dd-HH.mm.ss.SSSSSS","5","5","1"
"yyyy-MMM-dd HH:mm","5","5","3"
"-dd","5","5","2"
"yyyy-MM-dd HH.mm","5","5","3"
"M/d @ hh:mm:ss a","5","5","1"
"MM/dd/yyyy hh:mm:ss a","5","5","3"
"yyyy-MM-dd-hh-mm-ss","5","5","5"
"[[yyyy/]M/dd][[ ]h:m[:s][.SSS] a][[ ]H:m[:s][.SSS]]","5","5","1"
"MM-dd-yyyy 'at' h.mm.ss a","5","5","2"
"yy/MM/dd HH:mm:ss","5","5","2"
"YYYYMMddHHmmss","5","5","4"
"[M/dd[/yyyy]][[ ]h:m[:s][.SSS] a][[ ]H:m[:s][.SSS]]","5","5","1"
"dd-MM-yyyy HH:mm:ss VV","5","5","1"
"[[yyyy ]dd-MMM[-yyyy]][[ ]h:m[:s][.SSS] a][[ ]H:m[:s][.SSS]]","5","5","1"
"yyyyMMddHHmmss.SSSSZZZ","5","5","1"
"EEE, dd MMM yyyy HH:mm:ss ZZZ","5","5","2"
"EEE, MMM dd","5","5","5"
"y M d H m s VV","109","4","109"
"g","78","4","78"
"yyyyDDDHHmm","78","4","78"
"20HH-mm-ss","30","4","3"
"20HH-mm-ss 00:00:00","28","4","3"
"xxx","26","4","24"
"MMM.d-HH.mm.ss","18","4","1"
"kk","18","4","2"
"h:m","14","4","14"
"yyyy-MM-dd EEEE HH-mm","13","4","5"
"ddMMyyyy-HHmmss","10","4","2"
"yyMMddHH","9","4","2"
"M/d/yyyy H:mm:ss XXX","9","4","1"
"yyyy.MM.dd.HH.mm.ss","9","4","3"
"yyyy-[MM][M]-[dd][d]","9","4","7"
"yyyy年 MM月 dd日","9","4","2"
"MM_dd_yyyy","9","4","7"
"MMM dd yyyy,HH:mm","8","4","4"
"H時m分s秒","8","4","3"
"/","8","4","1"
" ZZZ","8","4","8"
"u","7","4","4"
"uuuu-MM-dd'T'HH:mm:ssXXX","7","4","2"
"yyyy-MM-dd HH:MM:SS","7","4","2"
"dd.MM.yyyy hh:mm","7","4","3"
"dd/MM/yyyy, HH:mm","6","4","5"
"yyyy-MM-dd'T'HH:mm:ss.SSSSSSX","6","4","4"
"HH:mm:ss a","6","4","2"
"HH.mm","6","4","5"
"yyyy-MM-dd HH;mm;ss","6","4","1"
"yy_MM_dd","6","4","3"
"h:m a","6","4","3"
